Year,Brand,Total Registrations
2023,Toyota,7
2023,Toyota,148
2023,Toyota,17
2023,Toyota,43
2023,Toyota,5
2023,Toyota,3
2023,Toyota,59
2023,Toyota,9
2023,Toyota,1
2023,Toyota,142
2023,Toyota,8
2023,Toyota,6
2023,Toyota,12
2023,Toyota,1
2023,Toyota,159
2023,Toyota,5431
2024,Toyota,764
2024,Toyota,1672
2024,Toyota,9
2024,Toyota,21
2024,Toyota,59
2024,Toyota,1
2024,Toyota,776
2024,Toyota,359
2024,Toyota,1660
2024,Toyota,6
2024,Toyota,22
2024,Toyota,153
2024,Toyota,2
2024,Toyota,963
