Category,Model,Variant,Without COE Price,With COE Price,Year
6 STANDARD,ZRE210R-GEXGPZ,C1,158888,157888,2023
5 ACTIVE HYBRID,NGX10R-AHXNXQ,A1,162888,161888,2023
5 EXCITE HYBRID,NGX10R-AHXEXQ,M1,168888,167888,2023
5 ELEGANCE HYBRID,NSP170R-MWYQKT,E4,166988,165988,2023
"6 DEC 2023 
CATEGORY B COE",SEDAN,CAMRY,235888,234888,2023
0 PREMIUM HYBRID,ASU60R-ANTMT,E1,220888,219888,2023
5,PREMIUM,HYBRID,252888,251888,2023
5,PREMIUM,HYBRID,260888,259888,2023
5 ELEGANCE HYBRID,AGH30R-PFXLK,E4,411888,410888,2023
5 ELEGANCE HYBRID,AGH30R-NFXLK,E4,414888,413888,2023
6 STANDARD,ZRE210R-GEXGPZ,C1,171888,170888,2023
5 ACTIVE HYBRID,NGX10R-AHXNXQ,A1,175888,174888,2023
5 EXCITE HYBRID,NGX10R-AHXEXQ,M1,181888,180888,2023
5 ELEGANCE HYBRID,NSP170R-MWYQKT,E4,179988,178988,2023
"18 OCT 2023 
CATEGORY B COE",SEDAN,CAMRY,241888,240888,2023
0 PREMIUM HYBRID,ASU60R-ANTMT,E1,226888,225888,2023
5,PREMIUM,HYBRID,258888,257888,2023
5,PREMIUM,HYBRID,266888,265888,2023
5 ELEGANCE HYBRID,AGH30R-NFXLK,E4,420888,419888,2023
5 ACTIVE HYBRID,NGX10R-AHXNXQ,A1,169388,168388,2024
5 ELEGANCE HYBRID,NSP170R-MWYQKT,E4,173988,172988,2024
"7 FEB 2024 
CATEGORY B COE",SEDAN,CAMRY,232888,231888,2024
0 PREMIUM HYBRID,ASU60R-ANTMT,E1,212888,211888,2024
5,PREMIUM,HYBRID,252888,251888,2024
5 ELEGANCE HYBRID,AGH30R-PFXLK,E4,394888,393888,2024
5 ELEGANCE HYBRID,AGH30R-NFXLK,E4,397888,396888,2024
6 STANDARD,ZRE210R-GEXGPZ,C1,158888,157888,2024
5 ACTIVE HYBRID,NGX10R-AHXNXQ,A1,173888,172888,2024
5 ELEGANCE HYBRID,NSP170R-MWYQKT,E4,185888,184888,2024
8 HYBRID,ZWE211R-GEXVBZ,H1,191888,190888,2024
0 PREMIUM HYBRID,ASU60R-ANTMT,E1,197888,196888,2024
5,PREMIUM,HYBRID,235888,234888,2024
5,PREMIUM,HYBRID,241888,240888,2024
5 ELEGANCE HYBRID,AGH30R-PFXLK,E4,296888,393888,2024
NFXLK,E4,POA,396888,395888,2024
